name,ratings,price,camera,display,battery,storage,ram,processor,android_version
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.3,9499,50,other_types,6000,64,4,not mentioned,12
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.3,10499,50,other_types,6000,128,4,not mentioned,12
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.3,10499,50,other_types,6000,128,4,not mentioned,12
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.3,10499,50,other_types,6000,128,4,not mentioned,12
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,15499,50,other_types,5000,128,6,Snapdragon750GProcessor,12
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,15499,50,other_types,5000,128,6,Snapdragon750GProcessor,12
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.2,6999,13,LCD,5000,64,4,not mentioned,12
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,6999,13,LCD,5000,64,4,not mentioned,12
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,13990,50,LCD,6000,128,6,not mentioned,13
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.3,15499,50,other_types,5000,128,6,Snapdragon750GProcessor,12
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,13990,50,LCD,6000,128,6,not mentioned,13
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",4.1,8093,13,other_types,5000,64,4,Heilo35P,12
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.3,9499,50,other_types,6000,64,4,not mentioned,12
"SAMSUNG Galaxy M04 (Light Green, 64 GB)",4.1,8185,13,other_types,5000,64,4,Heilo35P,12
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,12990,50,LCD,6000,128,4,not mentioned,13
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,12990,50,LCD,6000,128,4,not mentioned,13
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.3,9499,50,other_types,6000,64,4,not mentioned,12
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",4.2,16479,50,other_types,6000,128,6,not mentioned,13
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.2,13990,13,LCD,6000,128,6,Heilo35P,12
"SAMSUNG Galaxy M04 (Light Green, 128 GB)",4.1,9320,50,other_types,5000,128,4,not mentioned,12
"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)",4.2,13999,0,other_types,6000,128,6,not mentioned,13
"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)",4.1,14235,50,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",4.2,16479,50,other_types,6000,128,6,not mentioned,1
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4.2,11195,50,other_types,6000,64,4,not mentioned,12
"SAMSUNG GALAXY M13 (Midnight Blue, 128 GB)",4.2,12879,50,other_types,6000,128,6,not mentioned,12
"SAMSUNG Galaxy M33 5G (Emerald Brown, 128 GB)",4.2,17678,50,other_types,6000,128,8,Heilo35P,12
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)",4.1,10470,13,other_types,5000,128,4,not mentioned,12
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,11199,50,other_types,6000,64,4,not mentioned,12
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",4.2,16899,50,other_types,6000,128,6,not mentioned,12
"SAMSUNG Galaxy A23 (Black, 128 GB)",4.2,17499,50,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy S20 FE 5G (Cloud Mint, 128 GB)",4.2,27585,50,other_types,4500,128,8,not mentioned,12
"SAMSUNG GALAXY M13 5G (Stardust Brown, 64 GB)",4.1,12830,48,other_types,5000,64,4,"Dimensity1080,",13
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,11599,48,other_types,6000,64,4,"Dimensity1080,",13
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",4.3,31999,32,AMOLED,4500,128,8,not mentioned,12
"SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)",4.3,31999,50,AMOLED,4500,128,8,not mentioned,12
"SAMSUNG GALAXY M13 5G (?Stardust Brown, 128 GB)",4.1,14298,32,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)",4.2,30999,48,other_types,5000,128,8,"Dimensity1080,",13
"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)",4.3,31999,32,AMOLED,4500,128,8,not mentioned,12
